_catalog_row,imdb_resolved_id,imdb_match_method,imdb_match_status,imdb_match_candidates
78901,,existing_imdb_id,existing_id_not_in_title_basics,0
78902,,existing_imdb_id,existing_id_not_in_title_basics,0
78903,tt0297571,existing_imdb_id,matched,1
78904,tt0313984,existing_imdb_id,matched,1
78905,,,not_found,0
78906,,,year_mismatch,1
78907,,,not_found,0
78908,tt26342071,exact_title_type_year,matched,1
78909,tt0277470,existing_imdb_id,matched,1
78910,tt0346414,existing_imdb_id,matched,1
78911,tt0337779,existing_imdb_id,matched,1
78912,tt1223625,exact_title_type_year,matched,1
78913,tt2039089,existing_imdb_id,matched,1
78914,tt0300832,existing_imdb_id,matched,1
78915,tt0409604,existing_imdb_id,matched,1
78916,tt0207888,existing_imdb_id,matched,1
78917,tt0285416,existing_imdb_id,matched,1
78918,tt0310481,existing_imdb_id,matched,1
78919,tt0320028,existing_imdb_id,matched,1
78920,tt0302076,existing_imdb_id,matched,1
78921,,,not_found,0
78922,,,not_found,0
78923,tt0984171,exact_title_type_year,matched,1
78924,tt0421391,existing_imdb_id,matched,1
78925,tt1547413,existing_imdb_id,matched,1
78926,tt0274240,existing_imdb_id,matched,1
78927,,existing_imdb_id,existing_id_not_in_title_basics,0
78928,tt3389064,exact_title_type_year,matched,1
78929,,,not_found,0
78930,tt0339972,existing_imdb_id,matched,1
78931,tt0383070,existing_imdb_id,matched,1
78932,tt0997312,existing_imdb_id,matched,1
78933,,,not_found_correct_type,0
78934,,,not_found,0
78935,,,not_found,0
78936,tt0385406,existing_imdb_id,matched,1
78937,tt39398071,exact_title_type_year,matched,1
78938,tt0465832,existing_imdb_id,matched,1
78939,tt0329949,existing_imdb_id,matched,1
78940,tt0310458,existing_imdb_id,matched,1
78941,tt1239096,existing_imdb_id,matched,1
78942,,,year_mismatch,12
78943,tt4652642,existing_imdb_id,matched,1
78944,tt0320881,exact_title_type_year,matched,1
78945,tt0312097,existing_imdb_id,matched,1
78946,tt0324878,existing_imdb_id,matched,1
78947,tt0426761,existing_imdb_id,matched,1
78948,,,not_found,0
78949,tt0328786,existing_imdb_id,matched,1
78950,,,not_found,0
78951,tt0318915,existing_imdb_id,matched,1
78952,,,not_found,0
78953,tt0309122,existing_imdb_id,matched,1
78954,tt4694304,existing_imdb_id,matched,1
78955,tt0338611,existing_imdb_id,matched,1
78956,tt0334838,existing_imdb_id,matched,1
78957,tt0353047,existing_imdb_id,matched,1
78958,tt1186348,existing_imdb_id,matched,1
78959,tt0341702,existing_imdb_id,matched,1
78960,tt0380120,existing_imdb_id,matched,1
78961,tt0320981,existing_imdb_id,matched,1
78962,tt0337552,existing_imdb_id,matched,1
78963,tt1244672,existing_imdb_id,matched,1
78964,tt1614180,existing_imdb_id,matched,1
78965,tt0312125,existing_imdb_id,matched,1
78966,tt0334874,existing_imdb_id,matched,1
78967,,,not_found,0
78968,tt6954520,exact_title_type_year,matched,1
78969,tt0371445,exact_title_type_year_plus_minus_one,matched,1
78970,,,year_mismatch,1
78971,,,not_found,0
78972,tt0260615,existing_imdb_id,matched,1
78973,tt0487830,existing_imdb_id,matched,1
78974,tt0291628,existing_imdb_id,matched,1
78975,tt0324788,existing_imdb_id,matched,1
78976,,,not_found,0
78977,tt0483967,existing_imdb_id,matched,1
78978,,,not_found,0
78979,tt0455253,existing_imdb_id,matched,1
78980,tt0358810,existing_imdb_id,matched,1
78981,tt0324850,existing_imdb_id,matched,1
78982,tt0369099,existing_imdb_id,matched,1
78983,tt0346299,existing_imdb_id,matched,1
78984,tt0303635,existing_imdb_id,matched,1
78985,tt10873714,exact_title_type_year,matched,1
78986,tt0396998,existing_imdb_id,matched,1
78987,tt0799870,existing_imdb_id,matched,1
78988,tt0305056,existing_imdb_id,matched,1
78989,tt0299283,existing_imdb_id,matched,1
78990,tt30056745,exact_title_type_year,matched,1
78991,tt3803326,exact_title_type_year,matched,1
78992,tt0426342,exact_title_type_year,matched,1
78993,tt2275406,existing_imdb_id,matched,1
78994,tt0312194,existing_imdb_id,matched,1
78995,tt0272839,existing_imdb_id,matched,1
78996,tt0350436,existing_imdb_id,matched,1
78997,,,not_found,0
78998,tt0392970,existing_imdb_id,matched,1
78999,tt37453821,exact_title_type_year,matched,1
79000,tt0320030,existing_imdb_id,matched,1
79001,tt0319935,existing_imdb_id,matched,1
79002,tt0313034,existing_imdb_id,matched,1
79003,tt0303457,existing_imdb_id,matched,1
79004,tt0439101,existing_imdb_id,matched,1
79005,tt0321014,existing_imdb_id,matched,1
79006,tt0321013,existing_imdb_id,matched,1
79007,tt0374407,existing_imdb_id,matched,1
79008,tt0310525,existing_imdb_id,matched,1
79009,tt1515978,existing_imdb_id,matched,1
79010,tt0439071,existing_imdb_id,matched,1
79011,tt0486955,existing_imdb_id,matched,1
79012,tt0306355,existing_imdb_id,matched,1
79013,tt0425686,existing_imdb_id,matched,1
79014,tt0492508,exact_title_type_year,matched,1
79015,,,ambiguous_exact_year,2
79016,,,not_found_correct_type,0
79017,tt6354760,existing_imdb_id,matched,1
79018,tt0281482,existing_imdb_id,matched,1
79019,tt0328338,existing_imdb_id,matched,1
79020,tt0348516,existing_imdb_id,matched,1
79021,tt1071676,exact_title_type_year,matched,1
79022,tt0305044,existing_imdb_id,matched,1
79023,tt0348987,existing_imdb_id,matched,1
79024,,,not_found,0
79025,tt0310502,existing_imdb_id,matched,1
79026,tt0307762,existing_imdb_id,matched,1
79027,tt0327331,existing_imdb_id,matched,1
